  Grid,   Temperature,   Uvec,   CO,    CO2
   1.011e-02,   1.669e+03,   1.916e+00,   8.334e-02,   5.413e-02
   1.012e-02,   1.689e+03,   1.941e+00,   8.469e-02,   5.566e-02
   1.013e-02,   1.709e+03,   1.966e+00,   8.595e-02,   5.719e-02
   1.013e-02,   1.728e+03,   1.989e+00,   8.712e-02,   5.871e-02
   1.014e-02,   1.747e+03,   2.011e+00,   8.821e-02,   6.022e-02
   1.015e-02,   1.764e+03,   2.032e+00,   8.920e-02,   6.172e-02
   1.015e-02,   1.780e+03,   2.053e+00,   9.012e-02,   6.320e-02
   1.016e-02,   1.796e+03,   2.072e+00,   9.094e-02,   6.467e-02
   1.016e-02,   1.811e+03,   2.090e+00,   9.169e-02,   6.612e-02
   1.017e-02,   1.825e+03,   2.106e+00,   9.235e-02,   6.755e-02
   1.018e-02,   1.838e+03,   2.122e+00,   9.294e-02,   6.896e-02
   1.018e-02,   1.850e+03,   2.137e+00,   9.345e-02,   7.035e-02
   1.019e-02,   1.862e+03,   2.151e+00,   9.390e-02,   7.171e-02
   1.020e-02,   1.873e+03,   2.165e+00,   9.427e-02,   7.304e-02
   1.020e-02,   1.883e+03,   2.177e+00,   9.459e-02,   7.435e-02
   1.021e-02,   1.893e+03,   2.188e+00,   9.485e-02,   7.563e-02
   1.021e-02,   1.902e+03,   2.199e+00,   9.505e-02,   7.688e-02
   1.022e-02,   1.911e+03,   2.209e+00,   9.520e-02,   7.810e-02
   1.023e-02,   1.919e+03,   2.218e+00,   9.531e-02,   7.930e-02
   1.023e-02,   1.926e+03,   2.227e+00,   9.538e-02,   8.046e-02
   1.024e-02,   1.933e+03,   2.235e+00,   9.540e-02,   8.159e-02
   1.025e-02,   1.940e+03,   2.243e+00,   9.540e-02,   8.269e-02
   1.025e-02,   1.946e+03,   2.250e+00,   9.536e-02,   8.376e-02
   1.026e-02,   1.952e+03,   2.256e+00,   9.530e-02,   8.480e-02
   1.027e-02,   1.957e+03,   2.262e+00,   9.522e-02,   8.581e-02
   1.028e-02,   1.967e+03,   2.273e+00,   9.498e-02,   8.774e-02
   1.029e-02,   1.976e+03,   2.282e+00,   9.469e-02,   8.955e-02
   1.030e-02,   1.983e+03,   2.290e+00,   9.435e-02,   9.124e-02
   1.032e-02,   1.990e+03,   2.298e+00,   9.398e-02,   9.282e-02
   1.033e-02,   1.996e+03,   2.304e+00,   9.359e-02,   9.430e-02
   1.034e-02,   2.001e+03,   2.309e+00,   9.319e-02,   9.568e-02
   1.035e-02,   2.006e+03,   2.314e+00,   9.279e-02,   9.696e-02
   1.037e-02,   2.010e+03,   2.318e+00,   9.240e-02,   9.815e-02
   1.038e-02,   2.014e+03,   2.322e+00,   9.201e-02,   9.925e-02
   1.039e-02,   2.017e+03,   2.326e+00,   9.164e-02,   1.003e-01
   1.040e-02,   2.021e+03,   2.329e+00,   9.128e-02,   1.012e-01
   1.042e-02,   2.023e+03,   2.331e+00,   9.093e-02,   1.021e-01
   1.043e-02,   2.026e+03,   2.334e+00,   9.060e-02,   1.029e-01
   1.045e-02,   2.031e+03,   2.338e+00,   8.999e-02,   1.044e-01
   1.048e-02,   2.035e+03,   2.342e+00,   8.945e-02,   1.056e-01
   1.051e-02,   2.038e+03,   2.346e+00,   8.897e-02,   1.067e-01
   1.053e-02,   2.042e+03,   2.349e+00,   8.855e-02,   1.076e-01
   1.056e-02,   2.045e+03,   2.351e+00,   8.819e-02,   1.083e-01
   1.061e-02,   2.050e+03,   2.356e+00,   8.759e-02,   1.096e-01
