  Grid,   Temperature,   Uvec,   CO,    CO2
   1.364e-02,   3.200e+02,   5.059e-01,   2.179e-16,   7.511e-17
   1.377e-02,   3.200e+02,   5.059e-01,   2.703e-17,  -6.862e-18
   1.389e-02,   3.200e+02,   5.059e-01,   3.096e-16,   1.069e-16
   1.402e-02,   3.200e+02,   5.059e-01,   3.713e-16,   1.397e-16
   1.414e-02,   3.200e+02,   5.059e-01,   3.845e-17,   1.648e-17
   1.427e-02,   3.200e+02,   5.059e-01,  -5.786e-16,  -2.449e-16
   1.439e-02,   3.200e+02,   5.059e-01,   1.057e-16,   2.517e-17
   1.452e-02,   3.200e+02,   5.059e-01,   3.709e-16,   1.385e-16
   1.464e-02,   3.200e+02,   5.059e-01,   4.250e-17,   1.073e-17
   1.477e-02,   3.200e+02,   5.059e-01,  -2.490e-16,  -1.168e-16
   1.489e-02,   3.200e+02,   5.059e-01,   2.496e-16,   7.745e-17
   1.502e-02,   3.200e+02,   5.059e-01,   6.159e-16,   2.332e-16
   1.514e-02,   3.200e+02,   5.059e-01,   1.921e-16,   6.794e-17
   1.527e-02,   3.200e+02,   5.059e-01,   1.244e-17,   1.626e-19
   1.539e-02,   3.200e+02,   5.059e-01,  -3.178e-16,  -1.438e-16
   1.552e-02,   3.200e+02,   5.059e-01,   4.531e-16,   1.792e-16
   1.564e-02,   3.200e+02,   5.059e-01,  -4.241e-16,  -1.835e-16
   1.577e-02,   3.200e+02,   5.059e-01,   2.264e-16,   8.172e-17
   1.589e-02,   3.200e+02,   5.059e-01,  -4.020e-17,  -2.865e-17
   1.602e-02,   3.200e+02,   5.059e-01,   4.061e-17,  -4.898e-18
   1.615e-02,   3.200e+02,   5.059e-01,   5.422e-16,   2.014e-16
   1.627e-02,   3.200e+02,   5.059e-01,   3.828e-16,   1.496e-16
   1.640e-02,   3.200e+02,   5.059e-01,  -3.579e-16,  -1.596e-16
   1.652e-02,   3.200e+02,   5.059e-01,   4.205e-16,   1.655e-16
   1.665e-02,   3.200e+02,   5.059e-01,  -3.991e-16,  -1.777e-16
   1.677e-02,   3.200e+02,   5.059e-01,   3.903e-16,   1.426e-16
   1.690e-02,   3.200e+02,   5.059e-01,   1.924e-16,   6.310e-17
   1.702e-02,   3.200e+02,   5.059e-01,   1.492e-16,   4.064e-17
   1.715e-02,   3.200e+02,   5.059e-01,   5.539e-16,   2.170e-16
   1.727e-02,   3.200e+02,   5.059e-01,  -1.729e-16,  -7.427e-17
   1.740e-02,   3.200e+02,   5.059e-01,  -3.075e-16,  -1.426e-16
   1.752e-02,   3.200e+02,   5.059e-01,   4.984e-16,   1.861e-16
   1.765e-02,   3.200e+02,   5.059e-01,   1.932e-16,   6.452e-17
   1.777e-02,   3.200e+02,   5.059e-01,   2.695e-16,   1.056e-16
   1.790e-02,   3.200e+02,   5.059e-01,  -4.102e-16,  -1.803e-16
   1.802e-02,   3.200e+02,   5.059e-01,   4.446e-16,   1.754e-16
   1.815e-02,   3.200e+02,   5.059e-01,  -3.287e-16,  -1.420e-16
   1.827e-02,   3.200e+02,   5.059e-01,   3.677e-17,  -7.590e-19
   1.840e-02,   3.200e+02,   5.059e-01,   3.323e-16,   1.233e-16
   1.852e-02,   3.200e+02,   5.059e-01,   2.780e-17,  -8.424e-19
   1.865e-02,   3.200e+02,   5.059e-01,   1.486e-16,   4.767e-17
   1.877e-02,   3.200e+02,   5.059e-01,   1.544e-16,   5.163e-17
   1.890e-02,   3.200e+02,   5.059e-01,   1.669e-18,  -1.585e-17
   1.902e-02,   3.200e+02,   5.059e-01,   3.908e-16,   1.463e-16
   1.915e-02,   3.200e+02,   5.059e-01,   1.442e-16,   5.352e-17
   1.927e-02,   3.200e+02,   5.059e-01,  -2.908e-16,  -1.308e-16
   1.940e-02,   3.200e+02,   5.059e-01,   3.351e-16,   1.265e-16
   1.952e-02,   3.200e+02,   5.059e-01,  -1.350e-16,  -7.300e-17
   1.965e-02,   3.200e+02,   5.059e-01,   5.050e-16,   1.903e-16
   1.977e-02,   3.200e+02,   5.059e-01,   2.364e-16,   9.151e-17
   1.990e-02,   3.200e+02,   5.059e-01,  -3.020e-16,  -1.332e-16
   2.003e-02,   3.200e+02,   5.059e-01,   2.307e-16,   8.487e-17
   2.015e-02,   3.200e+02,   5.059e-01,  -9.900e-17,  -5.456e-17
   2.028e-02,   3.200e+02,   5.059e-01,   3.965e-16,   1.549e-16
   2.040e-02,   3.200e+02,   5.059e-01,  -2.396e-16,  -1.066e-16
   2.053e-02,   3.200e+02,   5.059e-01,   3.207e-17,  -5.095e-18
   2.065e-02,   3.200e+02,   5.059e-01,   5.300e-16,   2.049e-16
   2.078e-02,   3.200e+02,   5.059e-01,   1.005e-17,   1.224e-19
   2.090e-02,   3.200e+02,   5.059e-01,  -2.147e-16,  -9.528e-17
   2.103e-02,   3.200e+02,   5.059e-01,   5.319e-17,   1.077e-17
   2.115e-02,   3.200e+02,   5.059e-01,   1.096e-16,   3.240e-17
   2.128e-02,   3.200e+02,   5.059e-01,   9.383e-17,   2.114e-17
   2.140e-02,   3.200e+02,   5.059e-01,   4.214e-16,   1.575e-16
   2.153e-02,   3.200e+02,   5.059e-01,   1.638e-16,   5.690e-17
   2.165e-02,   3.200e+02,   5.059e-01,   2.857e-17,   1.867e-18
   2.178e-02,   3.200e+02,   5.059e-01,   1.222e-16,   4.226e-17
   2.190e-02,   3.200e+02,   5.059e-01,  -2.172e-17,  -1.368e-17
   2.203e-02,   3.200e+02,   5.059e-01,  -1.192e-16,  -5.488e-17
   2.215e-02,   3.200e+02,   5.059e-01,  -1.184e-16,  -6.517e-17
   2.228e-02,   3.200e+02,   5.059e-01,   5.125e-16,   1.968e-16
   2.240e-02,   3.200e+02,   5.059e-01,   5.705e-17,   1.532e-17
   2.253e-02,   3.200e+02,   5.059e-01,  -1.745e-17,  -1.813e-17
   2.265e-02,   3.200e+02,   5.059e-01,   1.971e-16,   7.232e-17
   2.278e-02,   3.200e+02,   5.059e-01,  -1.044e-16,  -5.522e-17
   2.290e-02,   3.200e+02,   5.059e-01,   3.046e-16,   1.131e-16
   2.303e-02,   3.200e+02,   5.059e-01,   9.121e-17,   2.986e-17
   2.315e-02,   3.200e+02,   5.059e-01,  -6.451e-17,  -3.709e-17
   2.328e-02,   3.200e+02,   5.059e-01,   1.991e-16,   7.238e-17
   2.340e-02,   3.200e+02,   5.059e-01,  -8.566e-17,  -5.224e-17
   2.353e-02,   3.200e+02,   5.059e-01,   5.927e-16,   2.353e-16
   2.365e-02,   3.200e+02,   5.059e-01,  -3.163e-16,  -1.411e-16
   2.378e-02,   3.200e+02,   5.059e-01,   2.484e-16,   8.082e-17
   2.390e-02,   3.200e+02,   5.059e-01,   6.660e-16,   2.660e-16
   2.403e-02,   3.200e+02,   5.059e-01,  -2.924e-16,  -1.216e-16
   2.416e-02,   3.200e+02,   5.059e-01,  -1.653e-16,  -7.650e-17
   2.428e-02,   3.200e+02,   5.059e-01,   1.205e-16,   3.490e-17
   2.441e-02,   3.200e+02,   5.059e-01,   2.793e-16,   9.975e-17
   2.453e-02,   3.200e+02,   5.059e-01,   2.273e-16,   8.055e-17
   2.466e-02,   3.200e+02,   5.059e-01,   1.520e-16,   5.127e-17
   2.478e-02,   3.200e+02,   5.059e-01,   1.669e-16,   6.258e-17
   2.491e-02,   3.200e+02,   5.059e-01,  -1.332e-16,  -6.162e-17
   2.503e-02,   3.200e+02,   5.059e-01,   9.468e-17,   3.226e-17
   2.516e-02,   3.200e+02,   5.059e-01,  -9.511e-17,  -4.978e-17
   2.528e-02,   3.200e+02,   5.059e-01,   2.298e-16,   8.269e-17
   2.541e-02,   3.200e+02,   5.059e-01,   1.396e-16,   4.959e-17
   2.553e-02,   3.200e+02,   5.059e-01,  -2.349e-17,  -1.797e-17
   2.566e-02,   3.200e+02,   5.059e-01,   5.219e-17,   9.692e-18
   2.578e-02,   3.200e+02,   5.059e-01,   2.297e-16,   8.365e-17
   2.591e-02,   3.200e+02,   5.059e-01,   3.665e-17,   2.803e-18
   2.603e-02,   3.200e+02,   5.059e-01,   2.538e-16,   9.218e-17
   2.616e-02,   3.200e+02,   5.059e-01,   1.830e-16,   7.000e-17
   2.628e-02,   3.200e+02,   5.059e-01,  -1.875e-16,  -8.499e-17
   2.641e-02,   3.200e+02,   5.059e-01,   1.752e-16,   6.304e-17
   2.653e-02,   3.200e+02,   5.059e-01,  -6.851e-17,  -4.378e-17
   2.666e-02,   3.200e+02,   5.059e-01,   5.414e-16,   2.124e-16
   2.678e-02,   3.200e+02,   5.059e-01,  -4.795e-17,  -2.149e-17
   2.691e-02,   3.200e+02,   5.059e-01,  -2.088e-16,  -9.013e-17
   2.703e-02,   3.200e+02,   5.059e-01,  -4.848e-17,  -3.182e-17
   2.716e-02,   3.200e+02,   5.059e-01,   2.999e-16,   1.099e-16
   2.728e-02,   3.200e+02,   5.059e-01,   2.672e-16,   1.073e-16
   2.741e-02,   3.200e+02,   5.059e-01,  -3.798e-16,  -1.639e-16
   2.753e-02,   3.200e+02,   5.059e-01,   2.569e-16,   9.278e-17
   2.766e-02,   3.200e+02,   5.059e-01,   1.957e-16,   7.030e-17
   2.778e-02,   3.200e+02,   5.059e-01,   6.478e-17,   1.571e-17
   2.791e-02,   3.200e+02,   5.059e-01,   2.106e-16,   7.834e-17
   2.804e-02,   3.200e+02,   5.059e-01,  -8.646e-17,  -5.051e-17
   2.816e-02,   3.200e+02,   5.059e-01,   5.284e-16,   2.078e-16
   2.829e-02,   3.200e+02,   5.059e-01,  -8.215e-17,  -3.660e-17
   2.841e-02,   3.200e+02,   5.059e-01,  -1.377e-16,  -6.400e-17
   2.854e-02,   3.200e+02,   5.059e-01,   7.764e-17,   1.786e-17
   2.866e-02,   3.200e+02,   5.059e-01,   4.533e-16,   1.811e-16
   2.879e-02,   3.200e+02,   5.059e-01,  -3.113e-16,  -1.340e-16
   2.891e-02,   3.200e+02,   5.059e-01,   1.482e-16,   4.963e-17
   2.904e-02,   3.200e+02,   5.059e-01,   1.505e-16,   4.841e-17
   2.916e-02,   3.200e+02,   5.059e-01,   3.437e-16,   1.346e-16
   2.929e-02,   3.200e+02,   5.059e-01,  -1.476e-16,  -6.598e-17
   2.941e-02,   3.200e+02,   5.059e-01,   4.346e-17,   9.201e-18
   2.954e-02,   3.200e+02,   5.059e-01,   7.530e-17,   1.847e-17
   2.966e-02,   3.200e+02,   5.059e-01,   3.254e-16,   1.252e-16
   2.979e-02,   3.200e+02,   5.059e-01,  -1.488e-17,  -1.103e-17
   2.991e-02,   3.200e+02,   5.059e-01,  -7.711e-17,  -4.200e-17
