  Grid,   Temperature,   Uvec,   CO,    CO2
   1.000e-02,   1.269e+03,   1.681e+00,   3.784e-02,   3.700e-02
   1.001e-02,   1.290e+03,   1.713e+00,   3.889e-02,   3.829e-02
   1.001e-02,   1.311e+03,   1.744e+00,   3.993e-02,   3.960e-02
   1.002e-02,   1.331e+03,   1.774e+00,   4.097e-02,   4.093e-02
   1.002e-02,   1.352e+03,   1.805e+00,   4.199e-02,   4.229e-02
   1.003e-02,   1.372e+03,   1.835e+00,   4.299e-02,   4.366e-02
   1.003e-02,   1.392e+03,   1.864e+00,   4.397e-02,   4.505e-02
   1.003e-02,   1.412e+03,   1.893e+00,   4.493e-02,   4.646e-02
   1.004e-02,   1.431e+03,   1.922e+00,   4.585e-02,   4.789e-02
   1.004e-02,   1.441e+03,   1.936e+00,   4.630e-02,   4.861e-02
   1.004e-02,   1.450e+03,   1.950e+00,   4.674e-02,   4.933e-02
   1.005e-02,   1.460e+03,   1.964e+00,   4.717e-02,   5.005e-02
   1.005e-02,   1.469e+03,   1.977e+00,   4.759e-02,   5.078e-02
   1.005e-02,   1.487e+03,   2.003e+00,   4.839e-02,   5.225e-02
   1.006e-02,   1.505e+03,   2.029e+00,   4.914e-02,   5.372e-02
   1.006e-02,   1.514e+03,   2.042e+00,   4.950e-02,   5.446e-02
   1.006e-02,   1.522e+03,   2.054e+00,   4.985e-02,   5.520e-02
   1.007e-02,   1.539e+03,   2.078e+00,   5.050e-02,   5.669e-02
   1.007e-02,   1.555e+03,   2.101e+00,   5.109e-02,   5.818e-02
   1.007e-02,   1.571e+03,   2.124e+00,   5.163e-02,   5.967e-02
   1.008e-02,   1.586e+03,   2.145e+00,   5.210e-02,   6.117e-02
   1.008e-02,   1.601e+03,   2.166e+00,   5.252e-02,   6.266e-02
   1.009e-02,   1.615e+03,   2.185e+00,   5.287e-02,   6.416e-02
   1.009e-02,   1.628e+03,   2.204e+00,   5.316e-02,   6.565e-02
   1.010e-02,   1.641e+03,   2.222e+00,   5.339e-02,   6.713e-02
   1.010e-02,   1.653e+03,   2.238e+00,   5.357e-02,   6.861e-02
   1.010e-02,   1.664e+03,   2.254e+00,   5.368e-02,   7.009e-02
   1.011e-02,   1.675e+03,   2.269e+00,   5.373e-02,   7.156e-02
   1.011e-02,   1.685e+03,   2.284e+00,   5.373e-02,   7.301e-02
   1.012e-02,   1.695e+03,   2.297e+00,   5.368e-02,   7.446e-02
   1.012e-02,   1.704e+03,   2.310e+00,   5.358e-02,   7.589e-02
   1.013e-02,   1.713e+03,   2.321e+00,   5.343e-02,   7.731e-02
   1.013e-02,   1.722e+03,   2.333e+00,   5.323e-02,   7.872e-02
   1.013e-02,   1.729e+03,   2.343e+00,   5.299e-02,   8.011e-02
   1.014e-02,   1.737e+03,   2.353e+00,   5.272e-02,   8.148e-02
