  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   9.950e-03,   1.026e+03,   9.510e-01,   1.538e-02,   1.425e-01,   4.567e-02
   1.000e-02,   1.182e+03,   1.106e+00,   8.519e-03,   1.255e-01,   5.590e-02
   1.005e-02,   1.347e+03,   1.271e+00,   2.794e-03,   1.071e-01,   6.730e-02
   1.015e-02,   1.629e+03,   1.552e+00,   4.414e-05,   7.409e-02,   9.096e-02
   1.025e-02,   1.736e+03,   1.651e+00,   2.224e-07,   6.118e-02,   1.082e-01
   1.035e-02,   1.794e+03,   1.700e+00,   6.094e-10,   5.604e-02,   1.190e-01
   1.045e-02,   1.834e+03,   1.734e+00,   1.087e-12,   5.331e-02,   1.258e-01
   1.055e-02,   1.865e+03,   1.759e+00,   1.400e-15,   5.157e-02,   1.304e-01
   1.065e-02,   1.889e+03,   1.778e+00,   1.403e-18,   5.036e-02,   1.336e-01
   1.075e-02,   1.908e+03,   1.794e+00,   1.152e-21,   4.947e-02,   1.361e-01
   1.085e-02,   1.924e+03,   1.806e+00,   8.059e-25,   4.878e-02,   1.380e-01
   1.095e-02,   1.937e+03,   1.817e+00,   4.946e-28,   4.822e-02,   1.395e-01
   1.106e-02,   1.947e+03,   1.826e+00,   2.722e-31,   4.777e-02,   1.408e-01
   1.116e-02,   1.957e+03,   1.833e+00,   1.367e-34,   4.739e-02,   1.419e-01
   1.126e-02,   1.965e+03,   1.839e+00,   6.344e-38,   4.706e-02,   1.428e-01
   1.136e-02,   1.971e+03,   1.845e+00,   2.752e-41,   4.678e-02,   1.436e-01
   1.146e-02,   1.977e+03,   1.850e+00,   1.126e-44,   4.654e-02,   1.444e-01
   1.156e-02,   1.983e+03,   1.854e+00,   4.372e-48,   4.633e-02,   1.450e-01
   1.166e-02,   1.987e+03,   1.857e+00,   1.623e-51,   4.614e-02,   1.456e-01
   1.176e-02,   1.992e+03,   1.861e+00,   5.782e-55,   4.597e-02,   1.461e-01
   1.186e-02,   1.995e+03,   1.864e+00,   1.987e-58,   4.582e-02,   1.465e-01
   1.196e-02,   1.999e+03,   1.867e+00,   6.609e-62,   4.569e-02,   1.469e-01
   1.206e-02,   2.002e+03,   1.869e+00,   2.134e-65,   4.557e-02,   1.473e-01
   1.216e-02,   2.005e+03,   1.871e+00,   6.711e-69,   4.546e-02,   1.476e-01
   1.226e-02,   2.007e+03,   1.873e+00,   2.059e-72,   4.537e-02,   1.480e-01
   1.236e-02,   2.010e+03,   1.875e+00,   6.181e-76,   4.528e-02,   1.482e-01
   1.246e-02,   2.012e+03,   1.877e+00,   1.818e-79,   4.519e-02,   1.485e-01
   1.256e-02,   2.014e+03,   1.878e+00,   5.245e-83,   4.512e-02,   1.488e-01
   1.266e-02,   2.015e+03,   1.880e+00,   1.488e-86,   4.505e-02,   1.490e-01
   1.276e-02,   2.017e+03,   1.881e+00,   4.153e-90,   4.499e-02,   1.492e-01
   1.286e-02,   2.019e+03,   1.882e+00,   1.142e-93,   4.493e-02,   1.494e-01
   1.296e-02,   2.020e+03,   1.884e+00,   3.099e-97,   4.488e-02,   1.496e-01
   1.307e-02,   2.022e+03,   1.885e+00,  8.299e-101,   4.483e-02,   1.497e-01
   1.317e-02,   2.023e+03,   1.886e+00,  2.196e-104,   4.478e-02,   1.499e-01
   1.327e-02,   2.024e+03,   1.887e+00,  5.748e-108,   4.474e-02,   1.500e-01
   1.337e-02,   2.025e+03,   1.888e+00,  1.489e-111,   4.470e-02,   1.502e-01
