# grid [m], ug [m/s], rhog, Tg [K], Yf, phi_g, Sm, Sh, Syf
0.0174874,0.411533,0.23004,1514.08,2.54009e-29,0.222087,0,0,0
0.0175879,0.411537,0.230038,1514.09,1.75936e-29,0.222087,0,0,0
0.0176884,0.41154,0.230036,1514.11,1.22154e-29,0.222087,0,0,0
0.0177889,0.411544,0.230034,1514.12,8.50125e-30,0.222087,0,0,0
0.0178894,0.411547,0.230032,1514.13,5.93003e-30,0.222087,0,0,0
0.0179899,0.41155,0.23003,1514.15,4.1458e-30,0.222087,0,0,0
0.0180905,0.411553,0.230029,1514.16,2.90482e-30,0.222087,0,0,0
0.018191,0.411556,0.230027,1514.17,2.03974e-30,0.222087,0,0,0
0.0182915,0.411558,0.230025,1514.18,1.43539e-30,0.222087,0,0,0
0.018392,0.411561,0.230024,1514.19,1.01227e-30,0.222087,0,0,0
0.0184925,0.411564,0.230023,1514.2,7.15425e-31,0.222087,0,0,0
0.018593,0.411566,0.230021,1514.21,5.06746e-31,0.222087,0,0,0
0.0186935,0.411568,0.23002,1514.22,3.59756e-31,0.222087,0,0,0
0.018794,0.41157,0.230019,1514.23,2.56016e-31,0.222087,0,0,0
0.0188945,0.411572,0.230018,1514.24,1.82663e-31,0.222087,0,0,0
0.018995,0.411574,0.230017,1514.25,1.30703e-31,0.222087,0,0,0
0.0190955,0.411576,0.230016,1514.25,9.3835e-32,0.222087,0,0,0
0.019196,0.411578,0.230015,1514.26,6.76415e-32,0.222087,0,0,0
0.0192965,0.411579,0.230014,1514.27,4.90206e-32,0.222087,0,0,0
0.019397,0.411581,0.230013,1514.27,3.57959e-32,0.222087,0,0,0
0.0194975,0.411582,0.230012,1514.28,2.64451e-32,0.222087,0,0,0
0.019598,0.411583,0.230012,1514.28,1.99136e-32,0.222087,0,0,0
0.0196985,0.411583,0.230011,1514.28,1.54879e-32,0.222087,0,0,0
0.019799,0.411584,0.230011,1514.29,1.2714e-32,0.222087,0,0,0
0.0198995,0.411584,0.230011,1514.29,1.13499e-32,0.222087,0,0,0
0.02,0.411584,0.230011,1514.29,1.13499e-32,0.222087,0,0,0
